month;Zeit;Temperatur Innen(℃);Luftfeuchtigkeit Innen(%);Temperatur Aussen(℃);Luftfeuchtigkeit Aussen(%);Taupunkt(℃);Gefühlte Temperatur(℃);Wind(m/s);Böe(m/s);Windrichtung(°);Abs. Luftdruck(hpa);Rel. Luftdruck(hpa);Sonneneinstrahlung(w/m2);UVI;Regen/Stunde(mm);Regen Event(mm);Regen/Tag(mm);Regen/Wochen(mm);Regen/Monat(mm);Regen/Jahre(mm);Pm2.5(ug/m3)
01;202501,0;21,48;42,99;2,61;88,78;0,84;2,17;0,9;1,27;179,26;1001,27;1001,27;18,54;0,05;0,07;2,85;0,97;5,83;34,2;34,2;
02;202452,0;21,66;43,92;4,63;80,79;1,32;4,16;0,98;1,34;196,6;1005,0;1005,0;48,81;0,3;0,07;3,4;0,96;7,28;28,38;81,23;
03;202453,0;22,13;41,58;8,16;75,87;3,74;7,98;0,88;1,21;193,48;1001,2;1001,2;71,58;0,48;0,07;2,93;1,0;7,34;24,47;131,14;
04;202454,0;21,83;43,54;10,86;72,01;5,36;10,77;0,89;1,25;190,89;1005,12;1005,12;117,5;0,9;0,08;2,77;0,81;8,18;29,38;190,23;
05;202455,0;22,66;47,82;14,94;74,33;9,78;14,92;0,78;1,09;179,55;1004,63;1004,63;154,32;1,22;0,12;3,56;1,17;9,77;46,7;264,14;
06;202456,0;23,08;52,61;18,18;71,73;12,3;18,19;0,77;1,08;178,65;1004,17;1004,17;173,96;1,39;0,07;2,51;1,0;5,26;17,27;326,1;
07;202407,0;23,87;54,43;19,41;72,64;13,75;19,42;0,73;1,05;176,57;1002,18;1002,18;152,63;1,19;0,11;4,29;1,18;8,45;31,39;391,32;
08;202408,0;24,08;56,94;19,68;76,09;14,91;19,77;0,69;0,98;185,67;1003,16;1003,16;136,3;1,06;0,08;3,15;0,88;6,7;33,36;479,16;
09;202409,0;23,4;56,17;16,74;80,37;12,98;16,77;0,71;1,01;184,18;1004,11;1004,11;98,12;0,73;0,1;3,17;1,18;11,76;45,51;552,01;
10;202410,0;21,82;55,58;12,37;87,11;10,12;12,35;0,65;0,93;189,09;1001,96;1001,96;46,11;0,27;0,1;3,93;1,28;8,35;32,73;612,7;
11;202411,0;21,38;52,2;7,05;89,35;5,31;6,84;0,88;1,23;200,43;1001,13;1001,13;22,12;0,08;0,09;3,78;1,11;9,1;29,21;684,91;
12;202412,0;21,18;48,3;5,18;90,07;3,61;4,83;0,95;1,32;193,64;1005,75;1005,75;14,09;0,02;0,08;2,63;0,89;8,15;34,97;761,93;
