Zeit;Temperatur Innen(℃);Luftfeuchtigkeit Innen(%);Temperatur Aussen(℃);Luftfeuchtigkeit Aussen(%);Taupunkt(℃);Gefühlte Temperatur(℃);Wind(m/s);Böe(m/s);Windrichtung(°);Abs. Luftdruck(hpa);Rel. Luftdruck(hpa);Sonneneinstrahlung(w/m2);UVI;Regen/Stunde(mm);Regen Event(mm);Regen/Tag(mm);Regen/Wochen(mm);Regen/Monat(mm);Regen/Jahre(mm);Pm2.5(ug/m3)
202302;21,85;40,89;1,01;61,62;-5,92;-0,22;1,46;1,87;216,87;1014,72;1014,72;94,59;0,70;0,00;0,00;0,00;2,20;23,30;65,00;
202303;20,96;44,28;6,99;77,15;3,01;6,73;1,15;1,57;211,55;996,96;996,96;61,47;0,39;0,12;4,15;1,52;10,58;38,18;103,18;
202304;21,67;44,86;9,64;71,54;4,21;9,51;0,98;1,37;206,70;1003,15;1003,15;120,71;0,93;0,06;1,84;0,66;5,87;31,21;177,01;
202305;22,03;48,75;14,25;72,31;8,72;14,24;0,93;1,27;210,28;1007,36;1007,36;171,09;1,38;0,08;3,53;0,99;6,84;46,41;240,51;
202306;23,45;50,30;20,42;58,94;11,19;20,41;0,79;1,11;185,14;1004,44;1004,44;214,29;1,77;0,03;0,86;0,41;2,17;5,37;265,47;
202307;23,50;53,80;19,54;66,96;12,49;19,54;0,85;1,25;182,42;1000,50;1000,50;154,65;1,21;0,09;3,90;1,08;7,42;17,49;302,49;
202308;23,76;59,27;18,69;80,60;14,98;18,75;0,66;0,96;181,72;1001,38;1001,38;125,63;0,94;0,11;5,14;1,39;9,49;50,75;406,65;
202309;23,75;57,12;18,50;77,02;13,91;18,53;0,54;0,77;178,65;1004,30;1004,30;118,32;0,93;0,07;2,40;0,58;7,26;31,33;476,13;
202310;21,37;57,34;13,47;83,02;10,37;13,47;0,70;1,01;191,70;997,85;997,85;53,89;0,34;0,13;5,79;1,65;11,69;40,13;539,83;
202311;20,32;55,54;7,42;87,48;5,37;7,17;1,12;1,59;205,74;993,68;993,68;23,77;0,09;0,15;5,06;1,52;13,05;42,01;647,41;
202312;20,20;51,21;6,20;88,05;4,30;5,83;1,24;1,74;195,29;1000,64;1000,64;14,41;0,02;0,11;3,93;1,01;13,37;37,46;754,06;
202401;20,74;44,72;2,97;84,23;0,44;2,40;1,15;1,59;204,00;1005,44;1005,44;19,77;0,07;0,05;2,10;0,76;5,66;30,18;30,18;
202402;20,62;50,22;8,23;85,89;5,91;7,95;1,14;1,58;203,55;999,51;999,51;34,05;0,17;0,11;5,99;1,56;10,35;41,69;82,79;
202403;22,35;42,14;9,23;79,97;5,69;9,11;0,76;1,07;179,71;995,73;995,73;71,37;0,49;0,10;5,27;1,56;12,99;38,75;162,65;
202404;21,50;45,71;11,04;76,63;6,69;10,87;1,07;1,50;191,79;1001,60;1001,60;96,83;0,69;0,13;5,68;1,21;17,84;50,74;252,64;
202405;22,57;52,69;15,67;81,63;12,12;15,66;0,64;0,93;170,19;1000,00;1000,00;141,65;1,09;0,19;5,77;1,78;17,79;80,00;377,20;
202406;22,88;52,70;16,96;75,29;12,05;16,97;0,78;1,09;173,42;1001,63;1001,63;157,45;1,23;0,09;2,55;1,29;6,80;24,43;471,03;
202407;24,05;54,69;19,31;75,63;14,41;19,33;0,61;0,87;176,13;1002,31;1002,31;150,79;1,18;0,11;4,54;1,29;8,85;39,40;552,00;
202408;24,43;58,36;20,85;76,10;16,06;20,99;0,69;0,97;197,01;1002,82;1002,82;140,22;1,10;0,08;2,08;0,77;4,46;33,80;631,20;
202409;23,33;57,11;16,12;82,97;12,93;16,18;0,74;1,06;184,08;1002,15;1002,15;88,55;0,64;0,10;3,19;0,93;11,56;38,98;698,08;
202410;22,31;55,01;12,17;90,15;10,51;12,17;0,49;0,70;205,07;1003,77;1003,77;44,31;0,25;0,07;2,61;0,99;6,55;33,07;766,27;
202411;21,91;50,71;6,70;90,68;5,18;6,47;0,85;1,20;185,60;1008,01;1008,01;19,14;0,05;0,08;4,72;1,16;9,10;27,56;814,66;
202412;21,64;46,01;4,40;90,63;2,94;3,97;1,00;1,38;200,17;1009,15;1009,15;12,91;0,01;0,07;2,30;1,02;6,38;33,22;882,02;
202501;21,94;41,99;2,72;91,79;1,43;2,38;0,85;1,20;170,34;1002,80;1002,80;18,44;0,04;0,12;4,51;1,71;7,45;54,97;54,97;
202502;22,29;39,59;3,38;84,45;0,84;3,20;0,58;0,82;183,56;1010,95;1010,95;34,78;0,17;0,02;0,34;0,25;2,07;4,21;94,21;
202503;22,78;38,19;8,12;69,32;2,13;7,94;0,74;1,02;183,03;1004,24;1004,24;79,90;0,56;0,01;0,35;0,22;1,44;3,43;105,83;
202504;22,85;40,20;11,77;71,21;5,91;11,73;0,73;1,04;177,61;1005,72;1005,72;121,21;0,93;0,07;2,42;0,88;6,50;16,10;129,90;
202505;23,34;41,70;14,81;66,71;7,97;14,81;0,90;1,26;166,62;1005,37;1005,37;158,36;1,26;0,08;1,78;0,72;2,82;18,13;181,73;
202506;23,36;54,21;19,72;70,88;13,71;19,78;0,73;1,04;175,46;1006,67;1006,67;180,81;1,45;0,07;3,02;1,25;5,29;25,72;252,82;
202507;24,05;54,79;19,37;75,32;14,36;19,40;0,72;1,03;171,16;1003,74;1003,74;152,45;1,19;0,13;4,42;1,16;9,09;37,27;319,47;
202508;24,05;53,18;19,50;71,56;13,68;19,56;0,72;1,00;178,28;1005,27;1005,27;143,04;1,13;0,04;2,24;0,47;6,14;15,52;399,62;
202509;23,12;54,28;15,61;81,13;12,10;15,61;0,86;1,20;189,82;1005,88;1005,88;87,48;0,63;0,12;3,92;2,03;16,45;66,23;481,83;
202510;21,77;54,38;11,48;88,16;9,49;11,40;0,76;1,09;170,51;1004,26;1004,26;40,13;0,21;0,09;3,38;1,20;6,82;25,00;532,00;
202511;21,91;50,35;7,04;89,90;5,38;6,87;0,66;0,91;209,96;1001,70;1001,70;23,45;0,09;0,05;1,55;0,65;5,14;18,07;592,67;
202512;21,70;47,68;4,93;91,52;3,60;4,69;0,60;0,84;185,45;1007,46;1007,46;14,94;0,02;0,05;1,66;0,64;4,71;34,22;649,72;
202601;21,77;42,26;2,15;90,31;0,65;1,74;0,70;1,01;163,43;995,56;995,56;17,42;0,04;0,05;1,93;0,45;4,38;17,44;17,44;
202602;21,86;44,96;5,91;91,20;4,47;5,71;0,74;1,07;182,44;994,80;994,80;31,83;0,14;0,14;7,29;2,05;14,51;44,32;82,92;
202603;22,42;41,70;8,31;77,03;4,11;8,13;0,85;1,17;199,62;1007,88;1007,88;73,57;0,49;0,06;1,94;0,72;4,36;17,51;152,91;
202604;21,31;43,39;11,01;68,65;4,64;10,98;0,79;1,08;187,46;1010,02;1010,02;131,24;1,03;0,04;1,15;0,48;2,51;19,47;201,37;
202605;22,72;48,15;15,01;76,68;10,31;14,99;0,65;0,90;171,11;1005,80;1005,80;146,19;1,14;0,11;3,16;1,20;11,62;42,24;257,14;
202606;22,65;53,23;15,60;81,82;12,23;15,60;0,77;1,10;180,58;1003,94;1003,94;143,31;1,11;0,08;3,62;1,03;6,80;13,56;315,06;
